hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,mean_rent,district,age,ping,pred_ping,diff
894ba0a5897ffff,121.53753401783176,25.00185100594622,3.0,1.0,0.0,5.0,0.2,5.0,2.0,2.0,1.0,1.0,1.0,28.054,1.0,6.0,0.0,3.0,8.0,6.0,-3.1550413966409333e-7,61.273177800000006,0.8766219253524274,188.393,1414.442,0.80751,35.767,79.13390982,66.67726515794205,-12.456644662057954
894ba0a450bffff,121.52488203790269,25.05942801714848,1.0,1.0,0.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,7.832,6.0,15.0,0.0,1.0,5.0,16.0,3.1580583478124398e-6,49.3262391,1.344965233176035,312.053,2110.591,0.31615,40.249,77.88861496,62.237120965006206,-15.651493994993793
894ba0a6ed3ffff,121.52063400555431,25.08228798167886,1.0,1.0,0.0,5.0,0.5,4.0,3.0,1.0,1.0,1.0,1.0,25.616,0.0,21.0,1.0,0.0,6.0,12.0,1.5618837464751151e-6,54.3941691,0.9819666023739572,215.48,1555.977,0.65284,27.676,56.059756400000005,50.20254688562757,-5.857209514372435
894ba1da6dbffff,121.56515599301326,24.984716007013205,1.0,1.0,0.0,5.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,24.209,0.0,4.0,0.0,0.0,5.0,5.0,1.3068669687074129e-6,55.67900870000001,0.8766219253524274,180.468,1255.957,0.80751,33.793,47.83360368,44.55760400445475,-3.2759996755452505
894ba0b49c3ffff,121.48813246553269,25.14398145387364,1.0,1.0,1.0,2.0,0.4,5.0,2.0,2.0,1.0,1.0,1.0,42.023,0.0,4.0,0.0,0.0,0.0,0.0,4.557262780569091e-6,48.9142857,1.0283727376965008,259.855,1294.718,0.59608,26.286,66.37219950000001,67.03303214873272,0.6608326487327076
894ba0a65b7ffff,121.50788798067155,25.118348982705896,1.0,1.0,0.0,5.0,0.5,4.0,3.0,2.0,2.0,1.0,1.0,30.477,0.0,0.0,0.0,3.0,5.0,3.0,1.2416562100221862e-6,57.544023300000006,1.0283727376965008,105.234,1744.198,0.59608,36.214,23.03382266,50.063517056404294,27.029694396404295
894ba0a58a3ffff,121.54537243840537,25.00108829466677,1.0,1.0,2.0,1.0,0.786,14.0,4.0,2.0,2.0,0.0,1.0,57.889,0.0,4.0,2.0,2.0,3.0,13.0,-1.4584402330552948e-6,61.10612240000001,0.8766219253524274,153.179,1310.732,0.80751,35.974,72.74842654000001,71.78602063393554,-0.9624059060644754
894ba1d36afffff,121.5995430860666,25.083977479992427,1.0,1.0,0.0,5.0,0.4,5.0,3.0,2.0,2.0,1.0,1.0,29.787,0.0,5.0,0.0,1.0,2.0,7.0,-1.8461227030160628e-6,63.558600600000005,1.3570544322769913,239.561,1702.71,0.58423,27.681,55.99760736,52.28302678587846,-3.714580574121541
894ba0a6bb3ffff,121.57455057076136,25.080472516861377,5.0,1.0,1.0,1.0,0.25,12.0,3.0,2.0,2.0,1.0,0.0,42.879,0.0,2.0,0.0,1.0,7.0,11.0,-1.9906559758098846e-7,62.7860058,1.3570544322769913,110.659,1724.102,0.58423,33.838,128.16189904,127.97268509965973,-0.18921394034028083
894ba0a45d7ffff,121.5164340015112,25.063145014021146,2.0,1.0,1.0,1.0,0.467,15.0,2.0,2.0,1.0,1.0,1.0,28.786,5.0,10.0,1.0,2.0,2.0,6.0,2.444235768301261e-6,48.6396501,1.0578742506774697,160.57,1841.948,0.52195,36.467,72.9127248,77.1215011892935,4.20877638929349
894ba1d32abffff,121.61142996587392,25.06943999094396,1.0,1.0,1.0,1.0,0.923,13.0,3.0,2.0,2.0,1.0,1.0,49.12,1.0,8.0,0.0,2.0,4.0,19.0,-1.8100000045212853e-6,68.66793000000001,1.3570544322769913,71.342,1479.44,0.58423,25.927,67.85452022000001,69.74592124667127,1.8914010266712609
