hex_id,x,y,land,building,parking,type,floor_ratio,t_floor,room,living_room,bathroom,partition,class,area,nimby,crime,school,green,trans,medical,rich_poor_gap,income_median,urban_index,a65_a0a14_rat,district,age,mean_rent,pred_rent,diff
894ba1d36bbffff,121.59625603891736,25.085137996396583,1.0,1.0,0.0,5.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,28.405,0.0,1.0,0.0,1.0,3.0,6.0,-1.148225204187252e-6,61.4227405,1.3570544322769913,225.555,0.58423,31.542,1838.676,1838.417714649274,-0.2582853507258278
894ba0a41a3ffff,121.5452450334771,25.05472602092415,1.0,1.0,1.0,1.0,0.857,14.0,0.0,0.0,0.0,0.0,1.0,62.318,0.0,4.0,1.0,1.0,3.0,16.0,-6.869465637377385e-6,80.74518950000001,1.344808418847325,99.049,0.15267,34.665,2378.773,2375.7838599653396,-2.9891400346605224
894ba56964fffff,121.50752764676848,25.12032211873501,1.0,1.0,1.0,2.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,29.805,0.0,0.0,0.0,3.0,5.0,3.0,9.846542058047396e-7,55.71399420000001,1.0283727376965008,117.055,0.59608,28.445,1751.514,1750.5916143678273,-0.9223856321725634
894ba0a4517ffff,121.52531898651516,25.063261019561097,1.0,1.0,1.0,1.0,0.611,18.0,2.0,2.0,1.0,1.0,1.0,41.575,3.0,7.0,1.0,1.0,9.0,25.0,-1.436515635714098e-7,57.906997100000005,1.344965233176035,237.071,0.31615,29.962,1997.194,1996.602302700901,-0.5916972990989962
894ba0a5db3ffff,121.5506377178983,25.02199160400707,1.0,1.0,0.0,2.0,0.8,10.0,2.0,2.0,1.0,1.0,1.0,22.034,1.0,10.0,0.0,1.0,5.0,7.0,-5.930490409940763e-7,59.32390670000001,1.259315372838953,223.831,0.0,40.148,1941.613,1945.8175756941723,4.204575694172263
894ba0a6bafffff,121.57809496930712,25.07640401137826,1.0,1.0,1.0,1.0,0.429,14.0,3.0,2.0,2.0,1.0,0.0,51.074,0.0,7.0,0.0,1.0,6.0,12.0,-3.437290386116442e-7,61.224198300000005,1.3570544322769913,156.134,0.58423,27.604,1945.696,1945.6406937080465,-0.05530629195345682
894ba56927bffff,121.52545997012663,25.10572600416174,2.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,12.239,0.0,8.0,0.0,1.0,3.0,5.0,-9.022275601157697e-8,60.2413994,0.9819666023739572,195.266,0.65284,29.5,2087.963,2087.9629999999916,-8.640199666842818e-12
894ba0a5887ffff,121.53886755463314,25.000389926314195,2.0,1.0,0.0,5.0,1.0,5.0,8.0,0.0,6.0,1.0,1.0,27.349,0.0,7.0,0.0,0.0,6.0,13.0,3.6202310910372994e-7,59.2023324,0.8766219253524274,159.156,0.80751,36.735,1594.156,1586.5229580700425,-7.633041929957471
894ba1d3613ffff,121.59204899407553,25.08155800173131,2.0,1.0,0.0,1.0,0.929,14.0,3.0,2.0,2.0,1.0,1.0,38.711,1.0,7.0,0.0,0.0,8.0,52.0,5.8885884003645754e-8,60.0720117,1.3570544322769913,199.249,0.58423,31.617,1607.754,1607.6684378777124,-0.08556212228745608
894ba0a6387ffff,121.50987801212348,25.08145699979805,1.0,1.0,0.0,1.0,0.455,11.0,2.0,2.0,1.0,1.0,0.0,24.554,1.0,5.0,0.0,1.0,2.0,1.0,5.070231054724397e-6,45.0708455,0.9819666023739572,200.925,0.65284,31.939,1308.955,1309.032876646809,0.07787664680904527
