name,lat,lng,hex_id
南京春天藥局,121.555376,25.051798,890cec7622fffff
美仁藥局,121.552494,25.052508,890cec76223ffff
禾宜藥局,121.551182,25.046085,890cec7623bffff
康是美建華藥局,121.557434,25.05177,890cec74497ffff
達昌健康藥局,121.555038,25.053388,890cec7635bffff
立健美中西藥局,121.544985,25.061767,890cec762b7ffff
吉仁藥局,121.553574,25.04551,890cec7622bffff
延吉春天藥局,121.553504,25.046074,890cec7622bffff
新東藥局,121.565445,25.059194,890cec7636bffff
萬芯中西藥局,121.555331,25.048172,890cec7622fffff
領悅藥局,121.553314,25.058242,890cec763cbffff
興宸藥局,121.564519,25.060914,890cec7636bffff
富凱延壽藥局,121.56648,25.057206,890cec744a7ffff
百立藥局,121.553407,25.020994,890cec771a3ffff
宏恩藥局,121.546113,25.036187,890cec7620bffff
靜園藥局,121.542921,25.022541,890cec77527ffff
延吉大藥局,121.55479,25.040657,890cec76267ffff
北陸藥局,121.555865,25.020997,890cec771afffff
杏友藥局,121.544635,25.028469,890cec76253ffff
師大藥局,121.528509,25.02271,890cec77587ffff
施寶藥局,121.542559,25.042767,890cec76213ffff
燕福藥局,121.532433,25.018166,890cec77517ffff
龍護大藥局,121.545445,25.034013,890cec76257ffff
新廣生藥局,121.546722,25.03762,890cec7620bffff
寶德藥局,121.552389,25.025124,890cec771b7ffff
泰佑藥局,121.551733,25.030107,890cec7627bffff
杏安堂藥局,121.547141,25.042921,890cec76203ffff
四維藥局,121.545447,25.028455,890cec76253ffff
羅斯福藥局,121.531295,25.01903,890cec7758fffff
赫慶藥局,121.540809,25.028659,890cec762cbffff
吉成藥局,121.531585,25.025568,890cec775b3ffff
順天堂藥局,121.529203,25.022563,890cec77587ffff
大興藥局,121.555477,25.030555,890cec7626bffff
辰安藥局,121.54718,25.043848,890cec76203ffff
青康藥局,121.555681,25.035316,890cec7626fffff
永誠藥局,121.553062,25.039967,890cec76267ffff
正昌藥局,121.553715,25.030982,890cec7626bffff
建如藥局,121.554342,25.021742,890cec771a3ffff
生百藥局,121.553878,25.030235,890cec7626bffff
台安藥局,121.546163,25.024868,890cec7625bffff
生光藥局,121.541207,25.041353,890cec762c7ffff
佳美藥局,121.543876,25.036221,890cec7621bffff
永康藥局,121.528994,25.03289,890cec7664fffff
世中欣藥局,121.529407,25.033154,890cec7664fffff
加豐藥局,121.540265,25.041255,890cec762c7ffff
崇光藥局,121.543542,25.041886,890cec76213ffff
大愛健康藥局,121.551984,25.03103,890cec7627bffff
麗樺藥師藥局,121.529038,25.032246,890cec7664fffff
安和藥局,121.551941,25.034331,890cec76263ffff
佑安藥局,121.55613,25.037082,890cec7626fffff
弘昇藥局,121.545787,25.043493,890cec76203ffff
長虹藥局,121.553057,25.038204,890cec76263ffff
惠盈藥局,121.541193,25.02297,890cec77523ffff
聯合仁愛藥局,121.546319,25.037307,890cec7620bffff
一心藥局,121.554875,25.021906,890cec771a3ffff
信安健康藥局,121.550117,25.033923,890cec76273ffff
新富川藥局,121.546392,25.043029,890cec76203ffff
聖英藥局,121.553997,25.036542,890cec76263ffff
元氣生活健保藥局,121.533828,25.034552,890cec7666bffff
康乃馨藥局,121.538211,25.034806,890cec762d3ffff
世康藥局,121.555605,25.035492,890cec7626fffff
惠良藥局,121.550726,25.024615,890cec7624fffff
愛維康生活藥局,121.547034,25.028317,890cec76243ffff
古亭健康人生藥局,121.523691,25.025722,890cec0db2fffff
杏一瑞安藥局,121.540647,25.028661,890cec762cbffff
好安心藥局,121.542732,25.025168,890cec77527ffff
